ID,NOME,RISCHIO_EROSIONE,DATA_ISCRIZIONE,AMBITO_LOCALE,MODICA_QUANTITA,SEZIONE_REGISTRO,TIPOLOGIA_RISORSA,FAMIGLIA,GENERE,SPECIE,NOME_COMUNE,SIGNIFICATO_NOME,SINONIMI,NOME_DIALETTALE,LUOGO_CONSERVAZIONE,SCHEDA_PORTALE
28,Prugna Armascia gialla accessione di Amelia,Elevato,25/05/2015,Comune di Amelia,10 marze,Vegetale,Arborea,Rosaceae,Prunus,P. domestica L.,Prugna Armascia gialla accessione di Amelia,"Forse derivato da una variante dialettale di Damasco/Damaschina, nome più comunemente diffuso in tempi storici per indicare alcune varietà di Susine",-,-,Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG).,https://biodiversita.umbria.parco3a.org/risorsa/susina-armascia-gialla-accessione-di-amelia/
29,Fagiolo Verdino di Cave,Elevato,18/06/2018,Frazione di Cave di Foligno (PG),200 grammi,Vegetale,Erbacea,Fabaceae,Phaseolus,P. vulgaris L.,Fagiolo Verdino di Cave,Legato al colore del tegumento del seme,"Cannellino umbro, Cannellino verdino umbro (entrambi riconducibili all’area geografica della Valle Umbra)",-,"Banca del Germoplasma Regionale di specie erbacee da seme, gestita dal DSA3.",https://biodiversita.umbria.parco3a.org/risorsa/fagiolo-verdino-di-cave/
30,Fagiolo Giallo di Cave,Elevato,18/06/2018,Frazione di Cave di Foligno (PG),200 grammi,Vegetale,Erbacea,Fabaceae,Phaseolus,P. vulgaris L.,Fagiolo Giallo di Cave,Legato al colore del tegumento del seme,-,-,"Banca del Germoplasma Regionale di specie erbacee da seme, gestita dal DSA3.",https://biodiversita.umbria.parco3a.org/risorsa/fagiolo-giallo-di-cave/
31,Merangolo di Ferentillo accessione “Frantoio La Drupa”,Elevato,18/06/2018,"Comuni di Ferentillo, Arrone, Amelia, Narni, Cesi, Otricoli, Calvi dell’Umbria, San Gemini, Terni, Penna in Teverina, Lugnano, Guardea, Alviano",10 marze,Vegetale,Arborea,Rutaceae,Citrus,C. x aurantium L,Merangolo di Ferentillo accessione “Frantoio La Drupa”,-,-,-,Campo Collezione regionale presso 3A-PTA,https://biodiversita.umbria.parco3a.org/risorsa/merangolo-di-ferentillo-accessione-frantoio-la-drupa/
32,Melo Panaia di Norcia,Elevato,18/06/2018,"Comuni del Comprensorio della Valnerina (Norcia, Cascia, Cerreto di Spoleto, Monteleone di Spoleto, Poggiodomo, Preci, Sant’Anatolia di Narco, Scheggino, Vallo di Nera, Arrone, Ferentillo, Polino)",10 marze,Vegetale,Arborea,Rosaceae,Malus,M. domestica Borkh,Melo Panaia di Norcia,Per il suo aspetto il frutto ricorda la forma del pane,-,-,Campo Collezione regionale presso 3A-PTA,https://biodiversita.umbria.parco3a.org/risorsa/mela-panaia-di-norcia/
33,Olivo Borgiona,Medio,18/06/2018,"Comuni di Gualdo Tadino, Gubbio, Città di castello, Monte S. Maria Tiberina, S. Giustino, Umbertide, Montone",10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Borgiona,-,"Morcona, Borsciona",-,Campo Collezione regionale di Olivi presso Lugnano in Teverina; Campo Collezione del CREA-OLI di Spoleto a Castel Ritaldi,https://biodiversita.umbria.parco3a.org/risorsa/olivo-borgiona/
34,Fagiolo di Camerata di Todi,Elevato,03/09/2018,Frazione di Camerata di Todi (PG),200 grammi,Vegetale,Erbacea,Fabaceae,Phaseolus,P. vulgaris L.,Fagiolo di Camerata di Todi,Legato alla omonima Frazione dove è tradizionalmente coltivato,Fagiolo d’acqua (per le elevate esigenze idriche di questa coltura),-,"Banca del Germoplasma Regionale di specie erbacee da seme, gestita dal DSA3.",https://biodiversita.umbria.parco3a.org/risorsa/fagiolo-di-camerata-di-todi/
35,Capra Facciuta della Valnerina,Minacciata,03/09/2018,"Comuni di Norcia, Cascia, Cerreto di Spoleto, Monteleone di Spoleto, Poggiodomo, Preci, Sant’Anatolia di Narco, Scheggino, Vallo di Nera, Arrone, Ferentillo, Narni, Spoleto, Campello sul Clitunno",1 maschio e 3 femmine,Animale,Caprini,"Bovidi, Cavicorni",Capra,C. hircus L.,Capra Facciuta della Valnerina,Si riferisce alle righe bianche che ornano le guance degli animali,"Rigatina, Facciuta Bianca, dalla Mascherina, Capra di Fematre, Capra del Monte Bove",-,Nessuno,https://biodiversita.umbria.parco3a.org/risorsa/capra-facciuta-della-valnerina/
36,Olivo Nebbia,Medio,03/09/2018,Regione Umbria,10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Nebbia,-,"Bianchella di Umbertide, Corniolina",-,Campo Collezione regionale di Olivi presso Lugnano in Teverina; Campo Collezione del CREA-OLI di Spoleto a Castel Ritaldi,https://biodiversita.umbria.parco3a.org/risorsa/olivo-nebbia/
37,Olivo San Felice,Medio,03/09/2018,Comune di Giano dell’Umbria,10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo San Felice,Il nome della varietà fa esplicito riferimento all’abbazia benedettina di S. Felice a Giano dell’Umbria.,Dritta,-,Campo Collezione del CREA-OLI di Spoleto a Castel Ritaldi,https://biodiversita.umbria.parco3a.org/risorsa/olivo-san-felice/
